Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"September 9, 2019",304.5,307.339996,298.209991,299,3397200,2019 Q3
COST,"September 10, 2019",297.380005,298.25,294.579987,297,2725000,2019 Q3
COST,"September 11, 2019",294.299988,295.73999,287.809998,290.690002,4754700,2019 Q3
COST,"September 12, 2019",290.339996,292.75,288.679993,289.890015,2942600,2019 Q3
COST,"September 13, 2019",290.200012,294.070007,289.850006,291.899994,2306300,2019 Q3
COST,"September 16, 2019",290.570007,291.380005,288.339996,288.690002,1508900,2019 Q3
COST,"September 17, 2019",289.559998,291.790009,288.690002,291.410004,1758900,2019 Q3
COST,"September 18, 2019",290.700012,293.570007,288.799988,292.429993,1666000,2019 Q3
COST,"September 19, 2019",289.48999,289.76001,284.709991,287.829987,3004700,2019 Q3
COST,"September 20, 2019",288.75,289.410004,286.140015,286.359985,3409500,2019 Q3
COST,"September 23, 2019",286.359985,288.130005,285.75,287.570007,2025400,2019 Q3
COST,"September 24, 2019",289.299988,292.619995,286.399994,287.910004,2483200,2019 Q3
COST,"September 25, 2019",288.26001,289.679993,286.869995,288.51001,1827800,2019 Q3
COST,"September 26, 2019",289.429993,289.809998,286.600006,288.26001,1877300,2019 Q3
COST,"September 27, 2019",289.529999,289.529999,284.399994,285.950012,1538100,2019 Q3
COST,"September 30, 2019",287.700012,288.619995,286.570007,288.109985,2151500,2019 Q3
COST,"October 1, 2019",288.040009,288.679993,283.179993,283.929993,2648900,2019 Q4
COST,"October 2, 2019",283.230011,285.790009,282.220001,285.109985,2480600,2019 Q4
COST,"October 3, 2019",285.390015,290.859985,281.600006,289,3590200,2019 Q4
COST,"October 4, 2019",287.850006,291.950012,283.320007,291.670013,4513300,2019 Q4
COST,"October 7, 2019",291.040009,295.690002,290.5,293.410004,1988700,2019 Q4
COST,"October 8, 2019",292.950012,295.579987,290.450012,291.890015,2201100,2019 Q4
COST,"October 9, 2019",293.109985,298.570007,293.109985,296.899994,2235500,2019 Q4
COST,"October 10, 2019",298.630005,299.480011,296.26001,297.140015,1637500,2019 Q4
COST,"October 11, 2019",298.070007,300.76001,297.359985,297.600006,1855500,2019 Q4
COST,"October 14, 2019",298,300.339996,297.5,297.519989,1297600,2019 Q4
COST,"October 15, 2019",298.320007,299.640015,297.230011,298.390015,1580700,2019 Q4
COST,"October 16, 2019",296.799988,298.970001,295.079987,298.779999,1811100,2019 Q4
COST,"October 17, 2019",298.850006,302.609985,298.850006,302.399994,1734600,2019 Q4
COST,"October 18, 2019",302,304,300.980011,302.859985,1853900,2019 Q4
COST,"October 21, 2019",303,303.51001,300.170013,301.079987,1322900,2019 Q4
COST,"October 22, 2019",301.609985,304.880005,299.950012,299.970001,1955600,2019 Q4
COST,"October 23, 2019",299.579987,300.049988,297.179993,297.320007,1798700,2019 Q4
COST,"October 24, 2019",295.049988,298.279999,294.559998,297.049988,2056700,2019 Q4
COST,"October 25, 2019",295.519989,297.25,295.109985,296.5,1686200,2019 Q4
COST,"October 28, 2019",295.700012,299.089996,295.209991,298.940002,1672600,2019 Q4
COST,"October 29, 2019",298.209991,298.940002,295.809998,295.859985,1295300,2019 Q4
COST,"October 30, 2019",296.920013,300.25,295.970001,299.839996,1264300,2019 Q4
COST,"October 31, 2019",298.359985,299.619995,294.549988,297.109985,2277400,2019 Q4
COST,"November 1, 2019",297.98999,298.420013,295.5,296.089996,1364500,2019 Q4
COST,"November 4, 2019",297.160004,298.220001,295.170013,296.820007,1651600,2019 Q4
COST,"November 5, 2019",297.089996,299.690002,295.809998,299.179993,2204500,2019 Q4
COST,"November 6, 2019",299.970001,301.649994,297.929993,301.570007,1675000,2019 Q4
COST,"November 7, 2019",303.929993,307.100006,302.480011,305.209991,2399400,2019 Q4
COST,"November 8, 2019",302.73999,304.290009,301.279999,302.619995,1501600,2019 Q4
COST,"November 11, 2019",301.549988,302.329987,299.700012,300.839996,1160900,2019 Q4
COST,"November 12, 2019",300.829987,302.730011,298.660004,300.5,1540800,2019 Q4
COST,"November 13, 2019",300.179993,304,299.519989,302.899994,1517900,2019 Q4
COST,"November 14, 2019",304.390015,305.890015,302.269989,304.589996,1336400,2019 Q4
COST,"November 15, 2019",305.309998,305.440002,301.600006,303.660004,1706100,2019 Q4
COST,"November 18, 2019",303.109985,306.380005,302.75,304.540009,1241300,2019 Q4
COST,"November 19, 2019",304.5,304.640015,301.450012,302.23999,1761400,2019 Q4
COST,"November 20, 2019",302.440002,303.170013,298.01001,300.570007,1979500,2019 Q4
COST,"November 21, 2019",300.690002,301.869995,299.519989,300.269989,1302500,2019 Q4
COST,"November 22, 2019",301.940002,301.940002,297.230011,299.309998,1277300,2019 Q4
COST,"November 25, 2019",300.290009,300.630005,297.549988,299.049988,1613000,2019 Q4
COST,"November 26, 2019",299.26001,301.350006,298.820007,301.23999,3359100,2019 Q4
COST,"November 27, 2019",301.820007,302.790009,300.570007,300.76001,1906500,2019 Q4
COST,"November 29, 2019",300.820007,300.890015,299.660004,299.809998,981600,2019 Q4
COST,"December 2, 2019",299.75,300.200012,294.269989,297.390015,2705500,2019 Q4
COST,"December 3, 2019",295.130005,296.190002,292.700012,295.670013,1921400,2019 Q4
COST,"December 4, 2019",296.040009,297.160004,295.149994,296.519989,1742000,2019 Q4
COST,"December 5, 2019",297.130005,297.130005,292.5,293.100006,1941100,2019 Q4
COST,"December 6, 2019",294.980011,295.98999,294.26001,294.950012,1462000,2019 Q4
COST,"December 9, 2019",295,297.190002,294.549988,295.160004,1960000,2019 Q4
COST,"December 10, 2019",296.029999,296.690002,294.549988,295.779999,1565900,2019 Q4
